LOCATION,ADDRESS,BIKE_PARKING,PLACEMENT,RACKS,SPACES,1_STATUS,2_STATUS_HIGH_LEVEL,3_STATUS_DETAIL,4_STATUS_DESCRIPTION,5_ACTING_AGENT,6_ACTION,INSTALLED_BY,YR_INSTALLED,COORDINATES
Richmond District Neighborhood Center,741 30TH AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SURVEY SCHEDULED,N/A,BUSINESS,2. RESPOND_TO_SFMTA,N/A,n/a,"(37.77509971, -122.49028312)"
Sunset Recreation Center,2201 LAWTON ST,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA CONTACTED,N/A,BUSINESS,2. RESPOND_TO_SFMTA,N/A,n/a,"(37.75658875, -122.48684699)"
Versus Games,1716 TARAVAL ST,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA CONTACTED,SFMTA CONTACTED,BUSINESS,2. RESPOND_TO_SFMTA,N/A,n/a,"(37.742902, -122.484688)"
Bloom,1605 TARAVAL ST,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SURVEY SCHEDULED,N/A,SFMTA,3. FIELD_SURVEY,N/A,n/a,"(37.74256657, -122.48340250)"
Angelina's Deli Cafe,6000 CALIFORNIA ST,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,POTENTIAL CORRAL,N/A,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.784224, -122.481987)"
6001 California,6001 CALIFORNIA ST,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,POTENTIAL CORRAL,N/A,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.783775, -122.481961)"
SFPD Taraval Station,2345 24TH AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA CONTACTED,N/A,BUSINESS,2. RESPOND_TO_SFMTA,N/A,n/a,"(37.743734, -122.481461)"
Wah Mei Preschool,1400 JUDAH ST,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,BUSINESS,2. RESPOND_TO_SFMTA,N/A,n/a,"(37.76186074, -122.47736908)"
Kezar Pavilion,755 STANYAN ST,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA CONTACTED,N/A,BUSINESS,2. RESPOND_TO_SFMTA,N/A,n/a,"(37.766355, -122.476896)"
Jefferson CDC (SA),1325 18TH AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SURVEY SCHEDULED,N/A,SFMTA,3. FIELD_SURVEY,N/A,n/a,"(37.76296657, -122.47654112)"
Temple Baptist Church,3355 19TH AVE,RACK,SIDEWALK,1,0,IN_PROGRESS,UNDER_REVIEW,SURVEYED ,STENCILED,SFMTA,4. REVIEW_AND_APPROVALS,SFMTA,2014,"(37.728502, -122.475241)"
Heartbaker Bakery,1408 CLEMENT ST,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SURVEY SCHEDULED,N/A,SFMTA,3. FIELD_SURVEY,N/A,n/a,"(37.782751, -122.474399)"
Internet Archive,300 FUNSTON AVE,RACK,PARKING_LANE,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA CONTACTED,N/A,BUSINESS,2. RESPOND_TO_SFMTA,N/A,n/a,"(37.782308, -122.471711)"
St. Anne of the Sunset Catholic Church,850 JUDAH ST,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.762226, -122.471280)"
Oceanview Laundromat,4089 19TH AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,SUPPLY MEETS DEMAND,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.714472, -122.470277)"
Clay Oven Indian Restaurant,385 WEST PORTAL AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA CONTACTED,N/A,BUSINESS,2. RESPOND_TO_SFMTA,N/A,n/a,"(37.736619, -122.470178)"
